rank,player_id,name,position,source,vorp,draft_round,rationale,log_ref
11,7564,Ja'Marr Chase,WR,vorp,101.1182007048279,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
12,9224,Chase Brown,RB,vorp,98.42300071783365,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
13,3198,Derrick Henry,RB,vorp,98.35600100636483,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
14,8150,Kyren Williams,RB,vorp,86.83200079470873,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
15,8137,George Pickens,WR,vorp,85.00120070800185,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
16,7588,Javonte Williams,RB,vorp,73.09700060002507,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
17,5850,Josh Jacobs,RB,vorp,69.27800047323107,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
18,8144,Chris Olave,WR,vorp,68.74220042340457,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
19,4866,Saquon Barkley,RB,vorp,65.3920006749034,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
20,8151,Kenneth Walker III,RB,vorp,37.6540005710721,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #37 -> up, behind Saquon Barkley -- DraftSharks 2026-08-28 ADP has him RB11/overall 14, well ahead of the board's vorp-only rank=37 (vorp=56.2, a muted 2025 SEA line); signed KC as a clear three-down workhorse (15-18 carries + goal-line). Tempered, not fully to ADP, by the Eric Bieniemy OC scheme-continuity risk (historically pass-heavy) noted in wiki/players/8151-kenneth-walker.md.] [RESOLVED 2026-08-29 (shrinkage review pass): named board-rank anchor in this rationale had drifted after the vorp shrinkage resort (the anchor player moved, this pinned row did not) -- re-anchored to sit right after that named player again. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
21,5859,A.J. Brown,WR,vorp,34.16520025730133,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #43 -> up, behind Chris Olave -- traded PHI->NE reuniting with Mike Vrabel as Drake Maye's clear WR1 (~130 targets/1200+ yds projected per wiki/players/5859-a-j-brown.md); DraftSharks 2026-08-28 ADP has him WR8/overall 13, well ahead of the board's TD-starved-2025-PHI-line vorp=48.1.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
22,6790,D'Andre Swift,RB,vorp,63.583000647947195,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
23,8228,Jaylen Warren,RB,vorp,54.538000553101305,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
24,9997,Zay Flowers,WR,vorp,52.62520054295659,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
25,12527,Ashton Jeanty,RB,vorp,73.96800058305264,,"[INJURY REVIEW 2026-08-27: moved #17 -> #26 — fresh right ankle sprain suffered 2026-08-25 (2 days before draft); ESPN reports it's believed low- rather than high-ankle and not major, but explicitly flags a real chance he sits Week 1 and that a high-ankle read could linger into the season. Re-check status night-of if any further update lands.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
26,8155,Breece Hall,RB,vorp,49.55320067450405,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
27,12489,RJ Harvey,RB,vorp,48.17300015874207,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
28,12529,TreVeyon Henderson,RB,vorp,47.905000394359234,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
29,7553,Kyle Pitts,TE,vorp,43.18000040024519,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
30,7569,Nico Collins,WR,vorp,39.064200393781064,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
31,4984,Josh Allen,QB,vorp,36.68000012636185,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
32,4881,Lamar Jackson,QB,vorp,-24.42399961054325,,"[INJURY REVIEW 2026-08-28: moved from season-VORP rank 181 -> here. Raw season-total VORP punished him for missing 4 of 17 games in 2025 (13 GP, vorp_season -61.1) despite a strong per-game rate once playing (vorp_per_game +0.48). Ravens beat reporters describe him as ""100% healthy"" and sharper than ever in 2026 camp. Historically a top-2-3 fantasy QB in full seasons on passing + rushing floor alone -- placed right behind Josh Allen.] [RESOLVED 2026-08-29 (shrinkage review pass): named board-rank anchor in this rationale had drifted after the vorp shrinkage resort (the anchor player moved, this pinned row did not) -- re-anchored to sit right after that named player again. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
33,6770,Joe Burrow,QB,vorp,-58.583999529480934,,"[INJURY REVIEW 2026-08-28: moved from season-VORP rank 458 -> here. Grade 3 turf toe + surgery limited him to 8 games in 2025 (vorp_season -146.5, the single worst season-vs-per-game distortion on the board). Fully cleared for 2026, ""no nagging injuries,"" full camp participant. Elite full-season ceiling (league-leading TD form in recent healthy years) -- placed just behind Lamar Jackson, ahead of Drake Maye.] [RESOLVED 2026-08-29 (shrinkage review pass): named board-rank anchor in this rationale had drifted after the vorp shrinkage resort (the anchor player moved, this pinned row did not) -- re-anchored to sit right after that named player again. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
34,2133,Davante Adams,WR,vorp,36.011200030893086,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
35,5967,Tony Pollard,RB,vorp,35.57700055010617,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
36,10232,Michael Wilson,WR,vorp,34.378200260475275,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
37,8146,Garrett Wilson,WR,vorp,-51.602800385951994,,"[INJURY REVIEW 2026-08-28: moved from season-VORP rank 196 -> here. Knee injury (IR in November) cost him the back half of 2025. Fully cleared, ""back healthy and ready,"" expected to be the Jets' clear #1 target under new OC Frank Reich -- the strongest, least-hedged positive signal of any player in this review. Placed alongside Nico Collins/Davante Adams as a full-value WR1/2.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
38,8148,Jameson Williams,WR,vorp,33.88120039060712,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
39,5045,Courtland Sutton,WR,vorp,33.73920027211308,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
40,1466,Travis Kelce,TE,vorp,31.21200032323599,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
41,7543,Travis Etienne,RB,vorp,79.19400066092611,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #16 -> new slot behind Michael Wilson (was overvalued vs DraftSharks 2026-08-28 ADP RB20/overall 43/pick 45) -- signed NO as co-RB1 with Alvin Kamara per wiki/players/7543-travis-etienne.md, a real early-down/passing-down committee, not a bell-cow hand-off; his vorp=118.2 reflects the fuller 2025 JAX workload. Flagged in decisions/2026/2026-08-29-draft-mock-draft-6-slot8.md, actioned here.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
42,7611,Rhamondre Stevenson,RB,vorp,30.887000210657718,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
43,13287,Jeremiyah Love,RB,rookie,,1,"Consensus #1 rookie overall; clear immediate RB1 role in ARI (light committee risk from Allgeier/Conner) — placed near the RB24 landmark (2025 data: rank 44 ≈ 46.5 vorp), reflecting round-1 RB's 71.4% top-24 historical hit rate plus a genuinely uncontested-enough opportunity profile.",2026-08-24-bigboard-initial-build-rookie-placement
44,11564,Drake Maye,QB,vorp,30.815999791026115,,"reconsidered 2026-08-28 (QB VORP reliability review): no change -- genuinely strong, fully-played 2025 (AFC East title, Super Bowl LX run) already reflected in this rank; first repeat OC (Josh McDaniels) plus A.J. Brown/Romeo Doubs additions are real positives, roughly offset by real O-line risk (21 sacks in the playoff run, an NFL record). Full-season production, not injury-distorted -- rank stands. [VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
45,7526,Jaylen Waddle,WR,vorp,15.577400183454156,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #81 -> up, behind Courtland Sutton -- traded MIA->DEN into a clean WR1 role for Bo Nix, pushing incumbent Sutton down; DraftSharks 2026-08-28 ADP has him WR21/overall 38, well ahead of the board's Miami-target-competition vorp=21.9.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
46,421,Matthew Stafford,QB,vorp,30.183999410271646,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
47,12526,Tetairoa McMillan,WR,vorp,29.266200268939137,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
48,13286,Jadarian Price,RB,rookie,,1,"R1 pick (Seattle, last pick of round 1) into a wide-open backfield — Kenneth Walker III departed, Zach Charbonnet recovering from ACL — the single best pure opportunity-share situation in this rookie class per wiki/team/rookie-evaluation.md's RB secondary signal; placed just behind Love, still inside the RB24 band.",2026-08-24-bigboard-initial-build-rookie-placement
49,8110,Jake Ferguson,TE,vorp,29.104000068902973,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
50,12518,Tyler Warren,TE,vorp,28.016000295877458,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
51,6801,Tee Higgins,WR,vorp,27.988200091198085,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
52,12506,Harold Fannin Jr.,TE,vorp,27.268000213801862,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
53,7523,Trevor Lawrence,QB,vorp,26.903999873995783,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
54,5022,Dallas Goedert,TE,vorp,25.70400005877018,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
55,7002,Juwan Johnson,TE,vorp,23.52800036072731,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
56,12512,Quinshon Judkins,RB,vorp,22.847000260576607,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
57,8112,Drake London,WR,vorp,21.811200168430805,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
58,5892,David Montgomery,RB,vorp,21.587400168925527,,"[ROLE-CHANGE REVIEW 2026-08-28: reconsidered, no change -- traded DET->HOU but reports have him splitting RB1 reps with incumbent Woody Marks rather than taking clean bell-cow volume (wiki/players/5892-david-montgomery.md); DraftSharks 2026-08-28 ADP (overall 67) tracks closely with the board's vorp-only rank=62, confirming no reprice needed.] [VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
59,3214,Hunter Henry,TE,vorp,21.420000238120558,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
60,7525,DeVonta Smith,WR,vorp,21.03020026259124,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
61,5870,Daniel Jones,QB,vorp,-19.391999918222428,,"[INJURY REVIEW 2026-08-28: moved from season-VORP rank 163 -> here. Torn Achilles in Week 14 2025 cost him the final stretch (13 GP, vorp_season -48.5). Re-signed as the Colts' starter and a full training-camp participant; reports call 2025 (pre-injury) a ""renaissance"" year, top-7 in completion % and yards/attempt. Placed near Bo Nix -- kept conservative given Achilles recoveries are historically inconsistent and his per-game VORP bump (+1.45) was modest, not elite.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
62,11566,Jayden Daniels,QB,vorp,-66.65599919259549,,"[INJURY REVIEW 2026-08-28: moved from season-VORP rank 525 -> here. Missed 10 games in 2025 across three separate injuries (knee, hamstring, elbow), cratering season-total VORP (-166.6) despite a positive per-game rate. GM says he's ""already jump-started"" recovery and looked strong in camp. 2024 Offensive Rookie of the Year with a rushing floor like Hurts's -- placed in the Hurts/Goff tier rather than higher, given three distinct 2025 injuries read as more fragility risk than Jackson's or Burrow's single-injury profile.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
63,6794,Justin Jefferson,WR,vorp,20.817200312316416,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
64,5001,Dalton Schultz,TE,vorp,20.672000247240067,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
65,4983,DJ Moore,WR,vorp,0.0,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #107 -> up, behind Drake London -- traded CHI->BUF reuniting with OC Joe Brady (his old Carolina play-caller) for a more downfield role off Buffalo's play-action running game; DraftSharks 2026-08-28 ADP has him WR25/overall 68, well ahead of the board's shallow-Chicago-usage vorp=0.0.]",2026-08-28-bigboard-moved-player-role-change-review
